answer_id,model_name,provider_country,licence_type,map_code,graphical_complexity,viz_technique,symbol_scaling,diagram_structure,map_source,question_id,nuts_level,map_usage_type,task_type,test_mode,score
42,GPT-4o,USA,paid,SINGLE-D-INST-1,low,point-based symbols,proportional symbols,uniform,statistical_office,42,region,analysis,associate,batch,3.7
43,GPT-4o,USA,paid,SINGLE-D-INST-1,low,point-based symbols,proportional symbols,uniform,statistical_office,43,region,interpretation,interpret,batch,2.85
44,GPT-4o,USA,paid,SINGLE-D-INST-1,low,point-based symbols,proportional symbols,uniform,statistical_office,44,region,interpretation,cause/effect,batch,4.25
45,GPT-4o,USA,paid,SINGLE-D-INST-1,low,point-based symbols,proportional symbols,uniform,statistical_office,45,region,interpretation,predict,batch,4.5
46,GPT-4o,USA,paid,SINGLE-D-INST-2,low,point-based symbols,graduated symbols,uniform,statistical_office,46,region,reading,identify,batch,5.0
47,GPT-4o,USA,paid,SINGLE-D-INST-2,low,point-based symbols,graduated symbols,uniform,statistical_office,47,region,reading,locate,batch,0.0
48,GPT-4o,USA,paid,SINGLE-D-INST-2,low,point-based symbols,graduated symbols,uniform,statistical_office,48,region,reading,retrieve value,batch,0.0
49,GPT-4o,USA,paid,SINGLE-D-INST-2,low,point-based symbols,graduated symbols,uniform,statistical_office,49,region,analysis,compare,batch,4.05
50,GPT-4o,USA,paid,SINGLE-D-INST-2,low,point-based symbols,graduated symbols,uniform,statistical_office,50,region,analysis,cluster,batch,4.3
51,GPT-4o,USA,paid,SINGLE-D-INST-2,low,point-based symbols,graduated symbols,uniform,statistical_office,51,region,analysis,associate,batch,3.6
52,GPT-4o,USA,paid,SINGLE-D-INST-2,low,point-based symbols,graduated symbols,uniform,statistical_office,52,region,interpretation,interpret,batch,4.5
53,GPT-4o,USA,paid,SINGLE-D-INST-2,low,point-based symbols,graduated symbols,uniform,statistical_office,53,region,interpretation,cause/effect,batch,3.5
54,GPT-4o,USA,paid,SINGLE-D-INST-2,low,point-based symbols,graduated symbols,uniform,statistical_office,54,region,interpretation,predict,batch,4.75
55,GPT-4o,USA,paid,SINGLE-D-INST-3,low,point-based symbols,graduated symbols,structural,statistical_office,55,region,reading,identify,batch,5.0
56,GPT-4o,USA,paid,SINGLE-D-INST-3,low,point-based symbols,graduated symbols,structural,statistical_office,56,region,reading,locate,batch,0.0
57,GPT-4o,USA,paid,SINGLE-D-INST-3,low,point-based symbols,graduated symbols,structural,statistical_office,57,region,reading,retrieve value,batch,0.0
58,GPT-4o,USA,paid,SINGLE-D-INST-3,low,point-based symbols,graduated symbols,structural,statistical_office,58,region,analysis,compare,batch,4.8
59,GPT-4o,USA,paid,SINGLE-D-INST-3,low,point-based symbols,graduated symbols,structural,statistical_office,59,region,analysis,cluster,batch,0.0
60,GPT-4o,USA,paid,SINGLE-D-INST-3,low,point-based symbols,graduated symbols,structural,statistical_office,60,region,analysis,associate,batch,4.8
61,GPT-4o,USA,paid,SINGLE-D-INST-3,low,point-based symbols,graduated symbols,structural,statistical_office,61,region,interpretation,interpret,batch,4.25
62,GPT-4o,USA,paid,SINGLE-D-INST-3,low,point-based symbols,graduated symbols,structural,statistical_office,62,region,interpretation,cause/effect,batch,4.05
63,GPT-4o,USA,paid,SINGLE-D-INST-3,low,point-based symbols,graduated symbols,structural,statistical_office,63,region,interpretation,predict,batch,5.0
64,GPT-4o,USA,paid,SINGLE-D-INST-4,low,choropleth,,,statistical_office,64,region,reading,identify,batch,4.5
65,GPT-4o,USA,paid,SINGLE-D-INST-4,low,choropleth,,,statistical_office,65,region,reading,locate,batch,5.0
66,GPT-4o,USA,paid,SINGLE-D-INST-4,low,choropleth,,,statistical_office,66,region,reading,retrieve value,batch,0.0
67,GPT-4o,USA,paid,SINGLE-D-INST-4,low,choropleth,,,statistical_office,67,region,analysis,compare,batch,0.0
68,GPT-4o,USA,paid,SINGLE-D-INST-4,low,choropleth,,,statistical_office,68,region,analysis,cluster,batch,0.0
69,GPT-4o,USA,paid,SINGLE-D-INST-4,low,choropleth,,,statistical_office,69,region,analysis,associate,batch,3.85
70,GPT-4o,USA,paid,SINGLE-D-INST-4,low,choropleth,,,statistical_office,70,region,interpretation,interpret,batch,4.75
71,GPT-4o,USA,paid,SINGLE-D-INST-4,low,choropleth,,,statistical_office,71,region,interpretation,cause/effect,batch,4.75
72,GPT-4o,USA,paid,SINGLE-D-INST-4,low,choropleth,,,statistical_office,72,region,interpretation,predict,batch,4.0
73,GPT-4o,USA,paid,MULTI-G-ATL-1,high,,proportional symbols,uniform,atlas,73,country,reading,identify,batch,0.0
74,GPT-4o,USA,paid,MULTI-G-ATL-1,high,,proportional symbols,uniform,atlas,74,country,reading,locate,batch,4.8
75,GPT-4o,USA,paid,MULTI-G-ATL-1,high,,proportional symbols,uniform,atlas,75,country,reading,retrieve value,batch,5.0
76,GPT-4o,USA,paid,MULTI-G-ATL-1,high,,proportional symbols,uniform,atlas,76,country,analysis,compare,batch,4.8
77,GPT-4o,USA,paid,MULTI-G-ATL-1,high,,proportional symbols,uniform,atlas,77,country,analysis,cluster,batch,4.6
78,GPT-4o,USA,paid,MULTI-G-ATL-1,high,,proportional symbols,uniform,atlas,78,country,analysis,associate,batch,4.5
79,GPT-4o,USA,paid,MULTI-G-ATL-1,high,,proportional symbols,uniform,atlas,79,country,interpretation,interpret,batch,4.4
80,GPT-4o,USA,paid,MULTI-G-ATL-1,high,,proportional symbols,uniform,atlas,80,country,interpretation,cause/effect,batch,4.75
81,GPT-4o,USA,paid,MULTI-G-ATL-1,high,,proportional symbols,uniform,atlas,81,country,interpretation,predict,batch,4.5
82,GPT-4o,USA,paid,MULTI-G-ATL-2,high,,graduated symbols,structural,atlas,82,country,reading,identify,batch,0.0
83,GPT-4o,USA,paid,MULTI-G-ATL-2,high,,graduated symbols,structural,atlas,83,country,reading,locate,batch,0.0
84,GPT-4o,USA,paid,MULTI-G-ATL-2,high,,graduated symbols,structural,atlas,84,country,reading,retrieve value,batch,4.3
85,GPT-4o,USA,paid,MULTI-G-ATL-2,high,,graduated symbols,structural,atlas,85,country,analysis,compare,batch,4.3
86,GPT-4o,USA,paid,MULTI-G-ATL-2,high,,graduated symbols,structural,atlas,86,country,analysis,cluster,batch,0.0
87,GPT-4o,USA,paid,MULTI-G-ATL-2,high,,graduated symbols,structural,atlas,87,country,analysis,associate,batch,4.3
88,GPT-4o,USA,paid,MULTI-G-ATL-2,high,,graduated symbols,structural,atlas,88,country,interpretation,interpret,batch,0.0
89,GPT-4o,USA,paid,MULTI-G-ATL-2,high,,graduated symbols,structural,atlas,89,country,interpretation,cause/effect,batch,4.05
90,GPT-4o,USA,paid,MULTI-G-ATL-2,high,,graduated symbols,structural,atlas,90,country,interpretation,predict,batch,4.3
91,GPT-4o,USA,paid,MULTI-G-INST-1,high,,proportional symbols,structural,statistical_office,91,country,reading,identify,batch,4.9
92,GPT-4o,USA,paid,MULTI-G-INST-1,high,,proportional symbols,structural,statistical_office,92,country,reading,locate,batch,5.0
93,GPT-4o,USA,paid,MULTI-G-INST-1,high,,proportional symbols,structural,statistical_office,93,country,reading,retrieve value,batch,5.0
94,GPT-4o,USA,paid,MULTI-G-INST-1,high,,proportional symbols,structural,statistical_office,94,country,analysis,compare,batch,0.0
95,GPT-4o,USA,paid,MULTI-G-INST-1,high,,proportional symbols,structural,statistical_office,95,country,analysis,cluster,batch,5.0
96,GPT-4o,USA,paid,MULTI-G-INST-1,high,,proportional symbols,structural,statistical_office,96,country,analysis,associate,batch,5.0
97,GPT-4o,USA,paid,MULTI-G-INST-1,high,,proportional symbols,structural,statistical_office,97,country,interpretation,interpret,batch,4.8
98,GPT-4o,USA,paid,MULTI-G-INST-1,high,,proportional symbols,structural,statistical_office,98,country,interpretation,cause/effect,batch,4.25
99,GPT-4o,USA,paid,MULTI-G-INST-1,high,,proportional symbols,structural,statistical_office,99,country,interpretation,predict,batch,4.25
100,GPT-4o,USA,paid,MULTI-G-INST-2,high,,proportional symbols,structural,statistical_office,100,country,reading,identify,batch,0.0
101,GPT-4o,USA,paid,MULTI-G-INST-2,high,,proportional symbols,structural,statistical_office,101,country,reading,locate,batch,0.0
102,GPT-4o,USA,paid,MULTI-G-INST-2,high,,proportional symbols,structural,statistical_office,102,country,reading,retrieve value,batch,5.0
103,GPT-4o,USA,paid,MULTI-G-INST-2,high,,proportional symbols,structural,statistical_office,103,country,analysis,compare,batch,4.1
104,GPT-4o,USA,paid,MULTI-G-INST-2,high,,proportional symbols,structural,statistical_office,104,country,analysis,cluster,batch,3.65
105,GPT-4o,USA,paid,MULTI-G-INST-2,high,,proportional symbols,structural,statistical_office,105,country,analysis,associate,batch,3.025
106,GPT-4o,USA,paid,MULTI-G-INST-2,high,,proportional symbols,structural,statistical_office,106,country,interpretation,interpret,batch,5.0
107,GPT-4o,USA,paid,MULTI-G-INST-2,high,,proportional symbols,structural,statistical_office,107,country,interpretation,cause/effect,batch,4.75
108,GPT-4o,USA,paid,MULTI-G-INST-2,high,,proportional symbols,structural,statistical_office,108,country,interpretation,predict,batch,4.5
109,GPT-4o,USA,paid,MULTI-G-INST-3,high,,proportional symbols,uniform,statistical_office,109,country,reading,identify,batch,0.0
110,GPT-4o,USA,paid,MULTI-G-INST-3,high,,proportional symbols,uniform,statistical_office,110,country,reading,locate,batch,0.0
111,GPT-4o,USA,paid,MULTI-G-INST-3,high,,proportional symbols,uniform,statistical_office,111,country,reading,retrieve value,batch,0.0
112,GPT-4o,USA,paid,MULTI-G-INST-3,high,,proportional symbols,uniform,statistical_office,112,country,analysis,compare,batch,0.0
113,GPT-4o,USA,paid,MULTI-G-INST-3,high,,proportional symbols,uniform,statistical_office,113,country,analysis,cluster,batch,0.0
114,GPT-4o,USA,paid,MULTI-G-INST-3,high,,proportional symbols,uniform,statistical_office,114,country,analysis,associate,batch,0.0
115,GPT-4o,USA,paid,MULTI-G-INST-3,high,,proportional symbols,uniform,statistical_office,115,country,interpretation,interpret,batch,4.0
116,GPT-4o,USA,paid,MULTI-G-INST-3,high,,proportional symbols,uniform,statistical_office,116,country,interpretation,cause/effect,batch,3.5
117,GPT-4o,USA,paid,MULTI-G-INST-3,high,,proportional symbols,uniform,statistical_office,117,country,interpretation,predict,batch,4.25
118,GPT-4o,USA,paid,MULTI-D-ATL-1,high,,graduated symbols,uniform,atlas,118,region,reading,identify,batch,0.0
119,GPT-4o,USA,paid,MULTI-D-ATL-1,high,,graduated symbols,uniform,atlas,119,region,reading,locate,batch,0.0
120,GPT-4o,USA,paid,MULTI-D-ATL-1,high,,graduated symbols,uniform,atlas,120,region,reading,retrieve value,batch,0.0
121,GPT-4o,USA,paid,MULTI-D-ATL-1,high,,graduated symbols,uniform,atlas,121,region,analysis,compare,batch,0.0
122,GPT-4o,USA,paid,MULTI-D-ATL-1,high,,graduated symbols,uniform,atlas,122,region,analysis,cluster,batch,3.45
123,GPT-4o,USA,paid,MULTI-D-ATL-1,high,,graduated symbols,uniform,atlas,123,region,analysis,associate,batch,3.775
124,GPT-4o,USA,paid,MULTI-D-ATL-1,high,,graduated symbols,uniform,atlas,124,region,interpretation,interpret,batch,4.5
125,GPT-4o,USA,paid,MULTI-D-ATL-1,high,,graduated symbols,uniform,atlas,125,region,interpretation,cause/effect,batch,3.95
126,GPT-4o,USA,paid,MULTI-D-ATL-1,high,,graduated symbols,uniform,atlas,126,region,interpretation,predict,batch,3.9
127,GPT-4o,USA,paid,MULTI-D-ATL-2,high,,proportional symbols,structural,atlas,127,region,reading,identify,batch,0.0
128,GPT-4o,USA,paid,MULTI-D-ATL-2,high,,proportional symbols,structural,atlas,128,region,reading,locate,batch,0.0
129,GPT-4o,USA,paid,MULTI-D-ATL-2,high,,proportional symbols,structural,atlas,129,region,reading,retrieve value,batch,0.0
130,GPT-4o,USA,paid,MULTI-D-ATL-2,high,,proportional symbols,structural,atlas,130,region,analysis,compare,batch,3.85
131,GPT-4o,USA,paid,MULTI-D-ATL-2,high,,proportional symbols,structural,atlas,131,region,analysis,cluster,batch,0.0
132,GPT-4o,USA,paid,MULTI-D-ATL-2,high,,proportional symbols,structural,atlas,132,region,analysis,associate,batch,5.0
133,GPT-4o,USA,paid,MULTI-D-ATL-2,high,,proportional symbols,structural,atlas,133,region,interpretation,interpret,batch,3.8
134,GPT-4o,USA,paid,MULTI-D-ATL-2,high,,proportional symbols,structural,atlas,134,region,interpretation,cause/effect,batch,2.3
135,GPT-4o,USA,paid,MULTI-D-ATL-2,high,,proportional symbols,structural,atlas,135,region,interpretation,predict,batch,5.0
136,GPT-4o,USA,paid,MULTI-D-ATL-3,high,,graduated symbols,uniform,atlas,136,region,reading,identify,batch,5.0
137,GPT-4o,USA,paid,MULTI-D-ATL-3,high,,graduated symbols,uniform,atlas,137,region,reading,locate,batch,4.8
138,GPT-4o,USA,paid,MULTI-D-ATL-3,high,,graduated symbols,uniform,atlas,138,region,reading,retrieve value,batch,0.0
139,GPT-4o,USA,paid,MULTI-D-ATL-3,high,,graduated symbols,uniform,atlas,139,region,analysis,compare,batch,4.1
140,GPT-4o,USA,paid,MULTI-D-ATL-3,high,,graduated symbols,uniform,atlas,140,region,analysis,cluster,batch,0.0
141,GPT-4o,USA,paid,MULTI-D-ATL-3,high,,graduated symbols,uniform,atlas,141,region,analysis,associate,batch,0.0
142,GPT-4o,USA,paid,MULTI-D-ATL-3,high,,graduated symbols,uniform,atlas,142,region,interpretation,interpret,batch,2.5
143,GPT-4o,USA,paid,MULTI-D-ATL-3,high,,graduated symbols,uniform,atlas,143,region,interpretation,cause/effect,batch,4.0
144,GPT-4o,USA,paid,MULTI-D-ATL-3,high,,graduated symbols,uniform,atlas,144,region,interpretation,predict,batch,4.15
289,GPT o3,USA,paid,SINGLE-G-ATL-1,low,choropleth,,,atlas,1,country,reading,identify,batch,4.2
290,GPT o3,USA,paid,SINGLE-G-ATL-1,low,choropleth,,,atlas,2,country,reading,locate,batch,4.8
291,GPT o3,USA,paid,SINGLE-G-ATL-1,low,choropleth,,,atlas,3,country,reading,retrieve value,batch,4.5
292,GPT o3,USA,paid,SINGLE-G-ATL-1,low,choropleth,,,atlas,4,country,analysis,compare,batch,4.8
293,GPT o3,USA,paid,SINGLE-G-ATL-1,low,choropleth,,,atlas,5,country,analysis,cluster,batch,4.6
294,GPT o3,USA,paid,SINGLE-G-ATL-1,low,choropleth,,,atlas,6,country,analysis,associate,batch,4.1
295,GPT o3,USA,paid,SINGLE-G-ATL-1,low,choropleth,,,atlas,7,country,interpretation,interpret,batch,4.55
296,GPT o3,USA,paid,SINGLE-G-ATL-1,low,choropleth,,,atlas,8,country,interpretation,cause/effect,batch,3.7
297,GPT o3,USA,paid,SINGLE-G-ATL-1,low,choropleth,,,atlas,9,country,interpretation,predict,batch,4.2
298,GPT o3,USA,paid,SINGLE-G-ATL-2,low,cartogram,,,atlas,10,country,reading,identify,batch,5.0
299,GPT o3,USA,paid,SINGLE-G-ATL-2,low,cartogram,,,atlas,11,country,reading,locate,batch,4.4
300,GPT o3,USA,paid,SINGLE-G-ATL-2,low,cartogram,,,atlas,12,country,reading,retrieve value,batch,4.1
301,GPT o3,USA,paid,SINGLE-G-ATL-2,low,cartogram,,,atlas,13,country,analysis,compare,batch,3.7
302,GPT o3,USA,paid,SINGLE-G-ATL-2,low,cartogram,,,atlas,14,country,analysis,cluster,batch,4.3
303,GPT o3,USA,paid,SINGLE-G-ATL-2,low,cartogram,,,atlas,15,country,analysis,associate,batch,4.1
304,GPT o3,USA,paid,SINGLE-G-ATL-2,low,cartogram,,,atlas,16,country,interpretation,interpret,batch,4.2
305,GPT o3,USA,paid,SINGLE-G-ATL-2,low,cartogram,,,atlas,17,country,interpretation,cause/effect,batch,4.0
306,GPT o3,USA,paid,SINGLE-G-ATL-2,low,cartogram,,,atlas,18,country,interpretation,predict,batch,5.0
307,GPT o3,USA,paid,SINGLE-G-INST-1,low,choropleth,,,statistical_office,19,country,reading,identify,batch,5.0
308,GPT o3,USA,paid,SINGLE-G-INST-1,low,choropleth,,,statistical_office,20,country,reading,locate,batch,0.0
309,GPT o3,USA,paid,SINGLE-G-INST-1,low,choropleth,,,statistical_office,21,country,reading,retrieve value,batch,0.0
310,GPT o3,USA,paid,SINGLE-G-INST-1,low,choropleth,,,statistical_office,22,country,analysis,compare,batch,3.7
311,GPT o3,USA,paid,SINGLE-G-INST-1,low,choropleth,,,statistical_office,23,country,analysis,cluster,batch,5.0
312,GPT o3,USA,paid,SINGLE-G-INST-1,low,choropleth,,,statistical_office,24,country,analysis,associate,batch,4.1
313,GPT o3,USA,paid,SINGLE-G-INST-1,low,choropleth,,,statistical_office,25,country,interpretation,interpret,batch,4.45
314,GPT o3,USA,paid,SINGLE-G-INST-1,low,choropleth,,,statistical_office,26,country,interpretation,cause/effect,batch,3.55
315,GPT o3,USA,paid,SINGLE-G-INST-1,low,choropleth,,,statistical_office,27,country,interpretation,predict,batch,3.05
316,GPT o3,USA,paid,SINGLE-D-ATL-1,low,cartogram,,,atlas,28,region,reading,identify,batch,0.0
317,GPT o3,USA,paid,SINGLE-D-ATL-1,low,cartogram,,,atlas,29,region,reading,locate,batch,5.0
318,GPT o3,USA,paid,SINGLE-D-ATL-1,low,cartogram,,,atlas,30,region,reading,retrieve value,batch,0.0
319,GPT o3,USA,paid,SINGLE-D-ATL-1,low,cartogram,,,atlas,31,region,analysis,compare,batch,4.3
320,GPT o3,USA,paid,SINGLE-D-ATL-1,low,cartogram,,,atlas,32,region,analysis,cluster,batch,4.1
321,GPT o3,USA,paid,SINGLE-D-ATL-1,low,cartogram,,,atlas,33,region,analysis,associate,batch,4.6
322,GPT o3,USA,paid,SINGLE-D-ATL-1,low,cartogram,,,atlas,34,region,interpretation,interpret,batch,4.25
323,GPT o3,USA,paid,SINGLE-D-ATL-1,low,cartogram,,,atlas,35,region,interpretation,cause/effect,batch,3.75
324,GPT o3,USA,paid,SINGLE-D-ATL-1,low,cartogram,,,atlas,36,region,interpretation,predict,batch,4.55
325,GPT o3,USA,paid,SINGLE-D-INST-1,low,point-based symbols,proportional symbols,uniform,statistical_office,37,region,reading,identify,batch,4.5
326,GPT o3,USA,paid,SINGLE-D-INST-1,low,point-based symbols,proportional symbols,uniform,statistical_office,38,region,reading,locate,batch,5.0
327,GPT o3,USA,paid,SINGLE-D-INST-1,low,point-based symbols,proportional symbols,uniform,statistical_office,39,region,reading,retrieve value,batch,4.3
328,GPT o3,USA,paid,SINGLE-D-INST-1,low,point-based symbols,proportional symbols,uniform,statistical_office,40,region,analysis,compare,batch,4.1
329,GPT o3,USA,paid,SINGLE-D-INST-1,low,point-based symbols,proportional symbols,uniform,statistical_office,41,region,analysis,cluster,batch,4.3
330,GPT o3,USA,paid,SINGLE-D-INST-1,low,point-based symbols,proportional symbols,uniform,statistical_office,42,region,analysis,associate,batch,4.6
331,GPT o3,USA,paid,SINGLE-D-INST-1,low,point-based symbols,proportional symbols,uniform,statistical_office,43,region,interpretation,interpret,batch,3.25
332,GPT o3,USA,paid,SINGLE-D-INST-1,low,point-based symbols,proportional symbols,uniform,statistical_office,44,region,interpretation,cause/effect,batch,3.95
333,GPT o3,USA,paid,SINGLE-D-INST-1,low,point-based symbols,proportional symbols,uniform,statistical_office,45,region,interpretation,predict,batch,4.3
334,GPT o3,USA,paid,SINGLE-D-INST-2,low,point-based symbols,graduated symbols,uniform,statistical_office,46,region,reading,identify,batch,5.0
335,GPT o3,USA,paid,SINGLE-D-INST-2,low,point-based symbols,graduated symbols,uniform,statistical_office,47,region,reading,locate,batch,0.0
336,GPT o3,USA,paid,SINGLE-D-INST-2,low,point-based symbols,graduated symbols,uniform,statistical_office,48,region,reading,retrieve value,batch,0.0
337,GPT o3,USA,paid,SINGLE-D-INST-2,low,point-based symbols,graduated symbols,uniform,statistical_office,49,region,analysis,compare,batch,5.0
338,GPT o3,USA,paid,SINGLE-D-INST-2,low,point-based symbols,graduated symbols,uniform,statistical_office,50,region,analysis,cluster,batch,4.3
339,GPT o3,USA,paid,SINGLE-D-INST-2,low,point-based symbols,graduated symbols,uniform,statistical_office,51,region,analysis,associate,batch,3.8
340,GPT o3,USA,paid,SINGLE-D-INST-2,low,point-based symbols,graduated symbols,uniform,statistical_office,52,region,interpretation,interpret,batch,4.5
341,GPT o3,USA,paid,SINGLE-D-INST-2,low,point-based symbols,graduated symbols,uniform,statistical_office,53,region,interpretation,cause/effect,batch,4.25
342,GPT o3,USA,paid,SINGLE-D-INST-2,low,point-based symbols,graduated symbols,uniform,statistical_office,54,region,interpretation,predict,batch,4.75
343,GPT o3,USA,paid,SINGLE-D-INST-3,low,point-based symbols,graduated symbols,structural,statistical_office,55,region,reading,identify,batch,5.0
344,GPT o3,USA,paid,SINGLE-D-INST-3,low,point-based symbols,graduated symbols,structural,statistical_office,56,region,reading,locate,batch,4.3
345,GPT o3,USA,paid,SINGLE-D-INST-3,low,point-based symbols,graduated symbols,structural,statistical_office,57,region,reading,retrieve value,batch,4.3
346,GPT o3,USA,paid,SINGLE-D-INST-3,low,point-based symbols,graduated symbols,structural,statistical_office,58,region,analysis,compare,batch,4.8
347,GPT o3,USA,paid,SINGLE-D-INST-3,low,point-based symbols,graduated symbols,structural,statistical_office,59,region,analysis,cluster,batch,0.0
348,GPT o3,USA,paid,SINGLE-D-INST-3,low,point-based symbols,graduated symbols,structural,statistical_office,60,region,analysis,associate,batch,4.8
349,GPT o3,USA,paid,SINGLE-D-INST-3,low,point-based symbols,graduated symbols,structural,statistical_office,61,region,interpretation,interpret,batch,4.05
350,GPT o3,USA,paid,SINGLE-D-INST-3,low,point-based symbols,graduated symbols,structural,statistical_office,62,region,interpretation,cause/effect,batch,4.5
351,GPT o3,USA,paid,SINGLE-D-INST-3,low,point-based symbols,graduated symbols,structural,statistical_office,63,region,interpretation,predict,batch,4.75
352,GPT o3,USA,paid,SINGLE-D-INST-4,low,choropleth,,,statistical_office,64,region,reading,identify,batch,4.8
353,GPT o3,USA,paid,SINGLE-D-INST-4,low,choropleth,,,statistical_office,65,region,reading,locate,batch,4.6
354,GPT o3,USA,paid,SINGLE-D-INST-4,low,choropleth,,,statistical_office,66,region,reading,retrieve value,batch,0.0
355,GPT o3,USA,paid,SINGLE-D-INST-4,low,choropleth,,,statistical_office,67,region,analysis,compare,batch,4.3
356,GPT o3,USA,paid,SINGLE-D-INST-4,low,choropleth,,,statistical_office,68,region,analysis,cluster,batch,0.0
